Year|Prov|Grade|Group|Tot|Grads|Perc
97/98| Prov |10|ALL|52638|46410|88
97/98| Prov |10|FEM|25763|22806|89
97/98| Prov |10|MAL|26875|23604|88
97/98| Prov |10|AB|2760|1928|70
97/98| Prov |10|XAB|49878|44482|89
97/98| Prov |10|ELL|5599|4943|88
97/98| Prov |10|FRI|1999|1950|98
97/98| Prov |10|SN|589|349|59
97/98| Prov |11|ALL|53295|41983|79
97/98| Prov |11|FEM|26397|21105|80
97/98| Prov |11|MAL|26898|20878|78
97/98| Prov |11|AB|2436|1365|56
97/98| Prov |11|XAB|50859|40618|80
97/98| Prov |11|ELL|6126|4738|77
97/98| Prov |11|FRI|1653|1584|96
97/98| Prov |11|SN|523|248|47
98/99| Prov |01|ALL|48430|46532|96
98/99| Prov |01|FEM|23570|22710|96
98/99| Prov |01|MAL|24860|23822|96
98/99| Prov |01|AB|3275|3042|93
98/99| Prov |01|XAB|45155|43490|96
98/99| Prov |01|ELL|7131|6846|96
98/99| Prov |01|FRI|2804|2701|96
98/99| Prov |01|SN|277|261|94
98/99| Prov |02|ALL|48659|47044|97
98/99| Prov |02|FEM|23726|22996|97
98/99| Prov |02|MAL|24933|24048|96
98/99| Prov |02|AB|3393|3211|95
98/99| Prov |02|XAB|45266|43833|97
98/99| Prov |02|ELL|6631|6371|96
98/99| Prov |02|FRI|2569|2493|97
98/99| Prov |02|SN|417|389|93
98/99| Prov |03|ALL|49899|48265|97
98/99| Prov |03|FEM|24500|23715|97
98/99| Prov |03|MAL|25399|24550|97
98/99| Prov |03|AB|3457|3274|95
98/99| Prov |03|XAB|46442|44991|97
98/99| Prov |03|ELL|6384|6149|96
98/99| Prov |03|FRI|2282|2217|97
98/99| Prov |03|SN|492|456|93
98/99| Prov |04|ALL|49161|47610|97
98/99| Prov |04|FEM|23996|23255|97
98/99| Prov |04|MAL|25165|24355|97
98/99| Prov |04|AB|3342|3173|95
98/99| Prov |04|XAB|45819|44437|97
98/99| Prov |04|ELL|6219|5977|96
